time,throttle,steer,velocity,indication
0.0696256160736084,0.0,0.0,0.4899999797344208,Left
0.21877837181091309,0.8500000238418579,0.012764560990035534,0.9800000786781311,Left
0.3714876174926758,0.8500000238418579,0.0006206417456269264,1.470000147819519,Left
0.5244827270507812,0.8500000238418579,0.0030472141224890947,1.9600002765655518,Left
0.6528725624084473,0.8500000238418579,0.0030472141224890947,2.450000286102295,Left
0.7978966236114502,0.8500000238418579,0.0030472141224890947,2.93999981880188,Left
0.9204237461090088,0.8500000238418579,0.0030472141224890947,2.082288980484012,Left
1.0991547107696533,0.8500000238418579,0.0030472141224890947,0.746308505535126,Left
1.2249410152435303,0.8500000238418579,0.0030472141224890947,0.11543779075436199,Left
1.369783639907837,0.8500000238418579,0.0030472141224890947,0.14960993826436278,Left
1.526545763015747,0.8500000238418579,0.0030472141224890947,0.23349778354271283,Left
1.6536624431610107,0.8500000238418579,0.0030472141224890947,0.2342470970074016,Left
1.7870638370513916,0.8500000238418579,0.0029574204236268997,0.5733435484726139,Left
3.709552764892578,0.8500000238418579,0.0030281906947493553,0.9915632165108832,Left
3.924821138381958,0.8500000238418579,0.002878401428461075,1.3021337712814587,Left
4.048173904418945,0.8500000238418579,0.0028708188328891993,1.497656675747829,Left
4.169142961502075,0.8500000238418579,0.0024893463123589754,1.855601170848101,Left
4.307290315628052,0.8500000238418579,0.0025496529415249825,2.094163305340525,Left
4.42791748046875,0.8500000238418579,0.0022325487807393074,2.358392984985915,Left
4.555329322814941,0.8500000238418579,0.0022088629193603992,2.636071297601124,Left
4.712514638900757,0.8500000238418579,0.0019911681301891804,2.94826258807543,Left
4.863073348999023,0.8500000238418579,0.001928608980961144,3.2957823558571224,Left
4.988685846328735,0.8500000238418579,0.0018972636898979545,3.6288896001156195,Left
5.211758375167847,0.8500000238418579,0.001772018033079803,3.937106911037734,Left
5.35831880569458,0.8500000238418579,0.001494868891313672,4.2326688537964525,Left
5.496042251586914,0.6497456431388855,0.0012130666291341186,4.500014313069417,Left
5.6339709758758545,0.0,0.0012138684978708625,4.675792612741985,Left
